theta,A2,b,a,z,status
64,-8,7.8,6.0,0.2,NotYet
64,-8,7.6,6.2,0.4,NotYet
64,-8,7.6,6.3,0.6,NotYet
64,-8,7.5,6.4,0.8,NotYet
64,-6,7.6,6.3,-1.0,NotYet
64,-6,7.6,6.4,-0.8,NotYet
64,-6,7.6,6.3,-0.6,NotYet
64,-6,7.7,6.2,-0.4,NotYet
64,-6,7.7,6.1,-0.2,NotYet
64,-6,7.7,6.0,0.0,NotYet
64,-6,7.6,6.1,0.2,NotYet
64,-6,7.6,6.2,0.4,NotYet
64,-6,7.5,6.4,0.6,NotYet
64,-6,7.5,6.4,0.8,NotYet
64,-4,7.6,6.3,-1.0,NotYet
64,-4,7.6,6.3,-0.8,NotYet
64,-4,7.6,6.2,-0.6,NotYet
64,-4,7.7,6.1,-0.4,NotYet
64,-4,7.7,6.0,-0.2,NotYet
64,-4,7.7,6.0,0.0,NotYet
64,-4,7.6,6.2,0.2,NotYet
64,-4,7.5,6.3,0.4,NotYet
64,-4,7.5,6.4,0.6,NotYet
64,-4,7.4,6.5,0.8,NotYet
64,-2,7.6,6.3,-1.0,NotYet
64,-2,7.6,6.3,-0.8,NotYet
64,-2,7.6,6.2,-0.6,NotYet
64,-2,7.7,6.0,-0.4,NotYet
64,-2,7.7,6.0,-0.2,NotYet
64,-2,7.6,6.1,0.0,NotYet
64,-2,7.5,6.3,0.2,NotYet
64,-2,7.5,6.4,0.4,NotYet
64,-2,7.4,6.5,0.6,NotYet
64,-2,7.4,6.6,0.8,NotYet
64,0,7.7,6.2,-1.0,NotYet
64,0,7.7,6.2,-0.8,NotYet
64,0,7.7,6.1,-0.6,NotYet
64,0,7.7,6.0,-0.4,NotYet
64,0,7.7,6.0,-0.2,NotYet
64,0,7.6,6.2,0.0,NotYet
64,0,7.5,6.4,0.2,NotYet
64,0,7.5,6.5,0.4,NotYet
64,0,7.4,6.6,0.6,NotYet
64,0,7.4,6.6,0.8,NotYet
64,2,7.7,6.2,-1.0,NotYet
64,2,7.8,6.1,-0.8,NotYet
64,2,7.8,6.0,-0.6,NotYet
64,2,7.8,6.0,-0.4,NotYet
64,2,7.7,6.1,-0.2,NotYet
64,2,7.6,6.3,0.0,NotYet
64,2,7.6,6.4,0.2,NotYet
64,2,7.5,6.5,0.4,NotYet
64,2,7.5,6.6,0.6,NotYet
64,2,7.5,6.6,0.8,NotYet
64,4,7.9,6.1,-1.0,NotYet
64,4,7.9,6.0,-0.8,NotYet
64,4,7.9,6.0,-0.6,NotYet
64,4,7.9,6.0,-0.4,NotYet
64,4,7.8,6.1,-0.2,NotYet
64,4,7.7,6.3,0.0,NotYet
64,4,7.6,6.5,0.2,NotYet
64,4,7.5,6.6,0.4,NotYet
64,4,7.6,6.6,0.6,NotYet
64,4,7.6,6.6,0.8,NotYet
64,6,8.0,6.1,-1.0,NotYet
64,6,8.0,6.0,-0.8,NotYet
64,6,8.0,5.9,-0.6,NotYet
64,6,7.9,6.0,-0.4,NotYet
64,6,7.8,6.2,-0.2,NotYet
64,6,7.7,6.4,0.0,NotYet
64,6,7.6,6.6,0.2,NotYet
64,6,7.6,6.6,0.4,NotYet
64,6,7.6,6.6,0.6,NotYet
64,6,7.7,6.6,0.8,NotYet
64,8,8.1,6.0,-1.0,NotYet
64,8,8.2,5.9,-0.8,NotYet
64,8,8.1,5.9,-0.6,NotYet
64,8,8.0,6.1,-0.4,NotYet
64,8,7.9,6.3,-0.2,NotYet
64,8,7.8,6.5,0.0,NotYet
64,8,7.7,6.6,0.2,NotYet
64,8,7.7,6.7,0.4,NotYet
64,8,7.7,6.6,0.6,NotYet
64,8,7.8,6.5,0.8,NotYet
64,10,8.3,5.9,-1.0,NotYet
64,10,8.3,5.9,-0.8,NotYet
64,10,8.2,6.0,-0.6,NotYet
64,10,8.1,6.2,-0.4,NotYet
64,10,7.9,6.4,-0.2,NotYet
64,10,7.8,6.6,0.0,NotYet
64,10,7.8,6.7,0.2,NotYet
64,10,7.8,6.7,0.4,NotYet
64,10,7.9,6.6,0.6,NotYet
64,10,7.9,6.6,0.8,NotYet
62,-10,7.9,6.3,-1.0,NotYet
62,-10,7.9,6.3,-0.8,NotYet
62,-10,8.0,6.2,-0.6,NotYet
62,-10,8.0,6.2,-0.4,NotYet
62,-10,8.1,6.0,-0.2,NotYet
62,-10,8.1,5.9,0.0,NotYet
62,-10,8.1,5.8,0.2,NotYet
62,-10,8.0,6.0,0.4,NotYet
62,-10,7.9,6.1,0.6,NotYet
62,-10,7.8,6.2,0.8,NotYet
62,-8,7.9,6.2,-1.0,NotYet
62,-8,7.9,6.2,-0.8,NotYet
62,-8,7.9,6.2,-0.6,NotYet
62,-8,7.9,6.1,-0.4,NotYet
62,-8,8.0,6.0,-0.2,NotYet
62,-8,8.0,5.9,0.0,NotYet
62,-8,8.0,5.9,0.2,NotYet
62,-8,7.9,6.0,0.4,NotYet
62,-8,7.7,6.2,0.6,NotYet
62,-8,7.7,6.3,0.8,NotYet
62,-6,7.8,6.2,-1.0,NotYet
62,-6,7.8,6.2,-0.8,NotYet
62,-6,7.8,6.2,-0.6,NotYet
62,-6,7.9,6.0,-0.4,NotYet
62,-6,7.9,5.9,-0.2,NotYet
62,-6,7.9,5.9,0.0,NotYet
62,-6,7.8,6.0,0.2,NotYet
62,-6,7.8,6.1,0.4,NotYet
62,-6,7.6,6.3,0.6,NotYet
62,-6,7.6,6.3,0.8,NotYet
62,-4,7.8,6.2,-1.0,NotYet
62,-4,7.8,6.2,-0.8,NotYet
62,-4,7.8,6.1,-0.6,NotYet
62,-4,7.8,6.0,-0.4,NotYet
62,-4,7.9,5.9,-0.2,NotYet
62,-4,7.9,5.9,0.0,NotYet
62,-4,7.8,6.0,0.2,NotYet
62,-4,7.7,6.2,0.4,NotYet
62,-4,7.6,6.3,0.6,NotYet
62,-4,7.6,6.4,0.8,NotYet
62,-2,7.8,6.1,-1.0,NotYet
62,-2,7.8,6.1,-0.8,NotYet
62,-2,7.8,6.0,-0.6,NotYet
62,-2,7.9,5.9,-0.4,NotYet
62,-2,7.9,5.9,-0.2,NotYet
62,-2,7.8,6.0,0.0,NotYet
62,-2,7.7,6.1,0.2,NotYet
62,-2,7.6,6.3,0.4,NotYet
62,-2,7.6,6.4,0.6,NotYet
62,-2,7.6,6.4,0.8,NotYet
62,0,7.8,6.1,-1.0,NotYet
62,0,7.9,6.0,-0.8,NotYet
62,0,7.9,6.0,-0.6,NotYet
62,0,7.9,5.9,-0.4,NotYet
62,0,7.9,5.9,-0.2,NotYet
62,0,7.8,6.0,0.0,NotYet
62,0,7.7,6.2,0.2,NotYet
62,0,7.6,6.4,0.4,NotYet
62,0,7.6,6.4,0.6,NotYet
62,0,7.6,6.4,0.8,NotYet
62,2,7.9,6.1,-1.0,NotYet
62,2,8.0,6.0,-0.8,NotYet
62,2,8.0,5.9,-0.6,NotYet
62,2,8.0,5.8,-0.4,NotYet
62,2,8.0,5.9,-0.2,NotYet
62,2,7.8,6.1,0.0,NotYet
62,2,7.7,6.3,0.2,NotYet
62,2,7.7,6.4,0.4,NotYet
62,2,7.6,6.5,0.6,NotYet
62,2,7.7,6.4,0.8,NotYet
62,4,8.0,6.0,-1.0,NotYet
62,4,8.1,5.9,-0.8,NotYet
62,4,8.1,5.8,-0.6,NotYet
62,4,8.1,5.8,-0.4,NotYet
62,4,8.0,6.0,-0.2,NotYet
62,4,7.9,6.2,0.0,NotYet
62,4,7.7,6.4,0.2,NotYet
62,4,7.7,6.5,0.4,NotYet
62,4,7.7,6.5,0.6,NotYet
62,4,7.8,6.4,0.8,NotYet
62,6,8.2,5.9,-1.0,NotYet
62,6,8.2,5.9,-0.8,NotYet
62,6,8.2,5.8,-0.6,NotYet
62,6,8.2,5.9,-0.4,NotYet
62,6,8.0,6.1,-0.2,NotYet
62,6,7.9,6.3,0.0,NotYet
62,6,7.8,6.4,0.2,NotYet
62,6,7.8,6.5,0.4,NotYet
62,6,7.8,6.5,0.6,NotYet
62,6,7.9,6.4,0.8,NotYet
62,8,8.4,5.9,-1.0,NotYet
62,8,8.4,5.8,-0.8,NotYet
62,8,8.4,5.8,-0.6,NotYet
62,8,8.2,6.0,-0.4,NotYet
62,8,8.1,6.2,-0.2,NotYet
62,8,7.9,6.4,0.0,NotYet
62,8,7.9,6.5,0.2,NotYet
62,8,7.9,6.5,0.4,NotYet
62,8,7.9,6.5,0.6,NotYet
62,8,8.0,6.4,0.8,NotYet
62,10,8.6,5.8,-1.0,NotYet
62,10,8.6,5.7,-0.8,NotYet
62,10,8.5,5.8,-0.6,NotYet
62,10,8.3,6.1,-0.4,NotYet
62,10,8.1,6.3,-0.2,NotYet
62,10,8.1,6.4,0.0,NotYet
62,10,8.0,6.5,0.2,NotYet
62,10,8.0,6.5,0.4,NotYet
62,10,8.1,6.5,0.6,NotYet
62,10,8.2,6.4,0.8,NotYet
60,-10,8.2,6.1,-1.0,NotYet
60,-10,8.2,6.1,-0.8,NotYet
60,-10,8.2,6.1,-0.6,NotYet
60,-10,8.2,6.0,-0.4,NotYet
60,-10,8.3,5.9,-0.2,NotYet
60,-10,8.3,5.8,0.0,NotYet
60,-10,8.4,5.7,0.2,NotYet
60,-10,8.3,5.8,0.4,NotYet
60,-10,8.1,6.0,0.6,NotYet
60,-10,8.0,6.1,0.8,NotYet
60,-8,8.1,6.1,-1.0,NotYet
60,-8,8.1,6.1,-0.8,NotYet
60,-8,8.1,6.0,-0.6,NotYet
60,-8,8.2,5.9,-0.4,NotYet
60,-8,8.2,5.8,-0.2,NotYet
60,-8,8.3,5.7,0.0,NotYet
60,-8,8.2,5.8,0.2,NotYet
60,-8,8.1,5.9,0.4,NotYet
60,-8,7.9,6.1,0.6,NotYet
60,-8,7.9,6.1,0.8,NotYet
60,-6,8.0,6.1,-1.0,NotYet
60,-6,8.0,6.1,-0.8,NotYet
60,-6,8.0,6.0,-0.6,NotYet
60,-6,8.1,5.9,-0.4,NotYet
60,-6,8.1,5.8,-0.2,NotYet
60,-6,8.2,5.7,0.0,NotYet
60,-6,8.1,5.8,0.2,NotYet
60,-6,7.9,6.0,0.4,NotYet
60,-6,7.9,6.1,0.6,NotYet
60,-6,7.8,6.2,0.8,NotYet
60,-4,8.0,6.0,-1.0,NotYet
60,-4,8.0,6.0,-0.8,NotYet
60,-4,8.0,6.0,-0.6,NotYet
60,-4,8.1,5.8,-0.4,NotYet
60,-4,8.1,5.8,-0.2,NotYet
60,-4,8.1,5.8,0.0,NotYet
60,-4,8.0,5.9,0.2,NotYet
60,-4,7.8,6.1,0.4,NotYet
60,-4,7.8,6.2,0.6,NotYet
60,-4,7.8,6.2,0.8,NotYet
60,-2,8.0,6.0,-1.0,NotYet
60,-2,8.0,6.0,-0.8,NotYet
60,-2,8.0,5.9,-0.6,NotYet
60,-2,8.1,5.8,-0.4,NotYet
60,-2,8.1,5.7,-0.2,NotYet
60,-2,8.1,5.8,0.0,NotYet
60,-2,7.9,6.0,0.2,NotYet
60,-2,7.8,6.2,0.4,NotYet
60,-2,7.8,6.2,0.6,NotYet
60,-2,7.8,6.3,0.8,NotYet
60,0,8.0,6.0,-1.0,NotYet
60,0,8.1,5.9,-0.8,NotYet
60,0,8.1,5.8,-0.6,NotYet
60,0,8.2,5.7,-0.4,NotYet
60,0,8.1,5.8,-0.2,NotYet
60,0,8.0,5.9,0.0,NotYet
60,0,7.9,6.1,0.2,NotYet
60,0,7.8,6.2,0.4,NotYet
60,0,7.8,6.3,0.6,NotYet
60,0,7.8,6.3,0.8,NotYet
60,2,8.1,5.9,-1.0,NotYet
60,2,8.2,5.8,-0.8,NotYet
60,2,8.2,5.8,-0.6,NotYet
60,2,8.2,5.7,-0.4,NotYet
60,2,8.2,5.8,-0.2,NotYet
60,2,8.0,6.0,0.0,NotYet
60,2,7.9,6.2,0.2,NotYet
60,2,7.8,6.3,0.4,NotYet
