theta,A2,b,a,z,status
56,6,8.8,5.7,-0.2,NotYet
56,6,8.7,5.8,0.0,NotYet
56,6,8.5,6.0,0.2,NotYet
56,6,8.5,6.0,0.4,NotYet
56,6,8.5,6.0,0.6,NotYet
56,6,8.6,5.9,0.8,NotYet
56,8,9.2,5.5,-1.0,NotYet
56,8,9.2,5.4,-0.8,NotYet
56,8,9.2,5.4,-0.6,NotYet
56,8,9.1,5.5,-0.4,NotYet
56,8,8.9,5.7,-0.2,NotYet
56,8,8.8,5.9,0.0,NotYet
56,8,8.7,6.0,0.2,NotYet
56,8,8.6,6.1,0.4,NotYet
56,8,8.7,6.0,0.6,NotYet
56,8,8.8,5.9,0.8,NotYet
56,10,9.4,5.4,-1.0,NotYet
56,10,9.4,5.4,-0.8,NotYet
56,10,9.4,5.4,-0.6,NotYet
56,10,9.2,5.6,-0.4,NotYet
56,10,9.0,5.8,-0.2,NotYet
56,10,8.8,6.0,0.0,NotYet
56,10,8.8,6.1,0.2,NotYet
56,10,8.8,6.1,0.4,NotYet
56,10,8.9,6.0,0.6,NotYet
56,10,9.0,5.9,0.8,NotYet
54,-10,8.9,5.6,-1.0,NotYet
54,-10,9.0,5.6,-0.8,NotYet
54,-10,9.0,5.6,-0.6,NotYet
54,-10,9.1,5.5,-0.4,NotYet
54,-10,9.2,5.4,-0.2,NotYet
54,-10,9.2,5.4,0.0,NotYet
54,-10,9.1,5.4,0.2,NotYet
54,-10,9.1,5.4,0.4,NotYet
54,-10,8.9,5.6,0.6,NotYet
54,-10,8.8,5.7,0.8,NotYet
54,-8,8.8,5.6,-1.0,NotYet
54,-8,8.8,5.6,-0.8,NotYet
54,-8,8.9,5.5,-0.6,NotYet
54,-8,8.9,5.5,-0.4,NotYet
54,-8,9.0,5.4,-0.2,NotYet
54,-8,9.0,5.4,0.0,NotYet
54,-8,9.0,5.4,0.2,NotYet
54,-8,8.9,5.5,0.4,NotYet
54,-8,8.7,5.7,0.6,NotYet
54,-8,8.6,5.8,0.8,NotYet
54,-6,8.7,5.6,-1.0,NotYet
54,-6,8.7,5.6,-0.8,NotYet
54,-6,8.8,5.5,-0.6,NotYet
54,-6,8.8,5.5,-0.4,NotYet
54,-6,8.9,5.4,-0.2,NotYet
54,-6,8.9,5.4,0.0,NotYet
54,-6,8.8,5.5,0.2,NotYet
54,-6,8.7,5.6,0.4,NotYet
54,-6,8.6,5.7,0.6,NotYet
54,-6,8.5,5.8,0.8,NotYet
54,-4,8.7,5.6,-1.0,NotYet
54,-4,8.7,5.6,-0.8,NotYet
54,-4,8.7,5.5,-0.6,NotYet
54,-4,8.8,5.4,-0.4,NotYet
54,-4,8.8,5.4,-0.2,NotYet
54,-4,8.8,5.4,0.0,NotYet
54,-4,8.7,5.5,0.2,NotYet
54,-4,8.5,5.7,0.4,NotYet
54,-4,8.5,5.8,0.6,NotYet
54,-4,8.5,5.8,0.8,NotYet
54,-2,8.6,5.6,-1.0,NotYet
54,-2,8.7,5.5,-0.8,NotYet
54,-2,8.7,5.5,-0.6,NotYet
54,-2,8.8,5.4,-0.4,NotYet
54,-2,8.8,5.4,-0.2,NotYet
54,-2,8.7,5.5,0.0,NotYet
54,-2,8.6,5.6,0.2,NotYet
54,-2,8.5,5.7,0.4,NotYet
54,-2,8.5,5.8,0.6,NotYet
54,-2,8.5,5.8,0.8,NotYet
54,0,8.7,5.6,-1.0,NotYet
54,0,8.8,5.5,-0.8,NotYet
54,0,8.8,5.5,-0.6,NotYet
54,0,8.9,5.4,-0.4,NotYet
54,0,8.9,5.4,-0.2,NotYet
54,0,8.8,5.5,0.0,NotYet
54,0,8.6,5.7,0.2,NotYet
54,0,8.5,5.8,0.4,NotYet
54,0,8.5,5.8,0.6,NotYet
54,0,8.5,5.8,0.8,NotYet
54,2,8.8,5.5,-1.0,NotYet
54,2,8.8,5.5,-0.8,NotYet
54,2,8.9,5.4,-0.6,NotYet
54,2,8.9,5.4,-0.4,NotYet
54,2,8.9,5.4,-0.2,NotYet
54,2,8.8,5.6,0.0,NotYet
54,2,8.7,5.7,0.2,NotYet
54,2,8.6,5.8,0.4,NotYet
54,2,8.6,5.8,0.6,NotYet
54,2,8.6,5.8,0.8,NotYet
54,4,9.0,5.5,-1.0,NotYet
54,4,9.1,5.4,-0.8,NotYet
54,4,9.1,5.4,-0.6,NotYet
54,4,9.1,5.4,-0.4,NotYet
54,4,9.0,5.5,-0.2,NotYet
54,4,8.9,5.6,0.0,NotYet
54,4,8.7,5.8,0.2,NotYet
54,4,8.7,5.8,0.4,NotYet
54,4,8.7,5.8,0.6,NotYet
54,4,8.7,5.8,0.8,NotYet
54,6,9.2,5.4,-1.0,NotYet
54,6,9.2,5.4,-0.8,NotYet
54,6,9.3,5.3,-0.6,NotYet
54,6,9.2,5.4,-0.4,NotYet
54,6,9.1,5.5,-0.2,NotYet
54,6,9.0,5.7,0.0,NotYet
54,6,8.9,5.8,0.2,NotYet
54,6,8.8,5.9,0.4,NotYet
54,6,8.9,5.8,0.6,NotYet
54,6,9.0,5.7,0.8,NotYet
54,8,9.5,5.3,-1.0,NotYet
54,8,9.5,5.3,-0.8,NotYet
54,8,9.5,5.3,-0.6,NotYet
54,8,9.4,5.4,-0.4,NotYet
54,8,9.3,5.5,-0.2,NotYet
54,8,9.1,5.7,0.0,NotYet
54,8,9.0,5.8,0.2,NotYet
54,8,8.9,5.9,0.4,NotYet
54,8,9.1,5.8,0.6,NotYet
54,8,9.2,5.7,0.8,NotYet
54,10,9.7,5.3,-1.0,NotYet
54,10,9.8,5.2,-0.8,NotYet
54,10,9.7,5.3,-0.6,NotYet
54,10,9.6,5.4,-0.4,NotYet
54,10,9.4,5.6,-0.2,NotYet
54,10,9.2,5.8,0.0,NotYet
54,10,9.1,5.9,0.2,NotYet
54,10,9.2,5.8,0.4,NotYet
54,10,9.3,5.8,0.6,NotYet
54,10,9.4,5.7,0.8,NotYet
