theta,za,zb,a,b,status
25,2.4,2.4,7.2,6.0,NotYet
21,2.4,2.4,7.2,6.0,NotYet
22,2.4,2.4,7.2,6.0,NotYet
23,2.4,2.4,7.2,6.0,NotYet
24,2.4,2.4,7.2,6.0,NotYet
